user_id,start_date,end_date,status
user_789,2024-01-01,2024-12-31,completed
user_789,2024-01-01,2024-12-31,pending
user_789,2024-02-01,2024-12-31,completed
user_789,2024-02-01,2024-12-31,pending
user_789,2024-01-01,2024-06-30,completed
user_789,2024-06-01,2024-12-31,completed
user_789,2024-06-01,2024-12-31,pending
user_789,2024-01-01,2024-03-31,completed
user_789,2024-04-01,2024-12-31,completed
user_789,2024-04-01,2024-12-31,pending
user_789,2024-07-01,2024-12-31,completed
user_789,2024-07-01,2024-12-31,pending
user_789,2024-01-01,2024-09-30,completed
user_789,2024-09-01,2024-12-31,completed
user_789,2024-10-01,2024-12-31,completed
user_789,2024-02-01,2024-06-30,completed
user_789,2024-02-01,2024-06-30,pending
user_789,2024-02-01,2024-02-28,completed
user_789,2024-06-01,2024-06-30,completed
user_789,2024-11-01,2024-12-31,pending
user_789,2024-01-01,2024-02-28,completed
user_789,2024-03-01,2024-06-30,completed
user_789,2024-08-01,2024-12-31,completed
user_789,2024-05-01,2024-11-30,completed
user_789,2024-03-01,2024-09-30,completed
user_789,2024-04-01,2024-10-31,completed
user_789,2024-05-01,2024-12-31,completed
user_789,2024-06-01,2024-09-30,completed
user_789,2024-01-15,2024-07-15,completed
user_789,2024-07-15,2024-12-31,completed
user_789,2024-02-10,2024-12-31,completed
user_789,2024-06-14,2024-06-30,completed
user_789,2024-11-20,2024-12-31,pending
user_789,2024-11-22,2024-12-31,pending
user_789,2024-11-23,2024-12-31,pending
user_789,2024-01-01,2024-12-31,completed
user_789,2024-01-01,2024-12-31,pending
user_789,2024-02-01,2024-12-31,completed
user_789,2024-03-01,2024-12-31,completed
user_789,2024-04-01,2024-12-31,pending
user_789,2024-05-01,2024-09-30,completed
user_789,2024-02-10,2024-06-16,completed
user_789,2024-06-14,2024-12-31,completed
user_789,2024-02-11,2024-12-31,completed
user_789,2024-02-12,2024-12-31,completed
user_789,2024-06-15,2024-12-31,completed
user_789,2024-06-16,2024-12-31,completed
user_789,2024-01-01,2024-11-30,completed
user_789,2024-03-01,2024-12-31,pending
user_789,2024-08-01,2024-11-30,completed
